query_product_id,query_product,query_form,rank,matched_product_id,matched_product,matched_form,formula_similarity,ingredient_similarity,function_similarity,manual_rating,notes
P00022,Protini Polypeptide Cream,cream,4,P00011,HALF & HALF FLUID MOISTURIZER,fluid,0.2076,0.2386,0.8951,Questionable / weak,"Shares many ingredients overall, but the high-position overlap is mainly water and glycerin and the leading formula structure differs substantially."
P00022,Protini Polypeptide Cream,cream,5,P00023,Squalane + Omega Repair Cream,cream,0.1938,0.1571,0.8407,Reasonable,"Five high-position overlaps, including the cetearyl olivate/sorbitan olivate pair and cetearyl alcohol, provide strong structural evidence despite the lower score."
P00011,HALF & HALF FLUID MOISTURIZER,fluid,1,P00002,Paula’s Choice Resist Barrier Repair Advanced Moisturizer,cream,0.2862,0.2647,0.9097,Reasonable,"Shares 18 ingredients with high-position overlap in glycerin, squalane, and ceramide NP, giving clear hydration and barrier-structure similarity."
P00011,HALF & HALF FLUID MOISTURIZER,fluid,2,P00039,Cloud Dew Gel Cream Moisturizer,gel_cream,0.2481,0.2658,0.9058,Reasonable,"Shares 21 ingredients and four high-position ingredients, including propanediol, glycerin, and ceramide NP."
P00011,HALF & HALF FLUID MOISTURIZER,fluid,3,P00005,Neutrogena Hydro Boost Gel Cream Fragrance Free,gel_cream,0.2219,0.25,0.8584,Questionable / weak,"Shares 17 ingredients overall, but the high-position overlap is limited to water and glycerin while the leading formula structures differ substantially."
P00011,HALF & HALF FLUID MOISTURIZER,fluid,4,P00009,CONFIDENCE IN A CREAM ANTI-AGING HYDRATING MOISTURIZER,cream,0.22,0.2192,0.8106,Reasonable,Sixteen shared ingredients plus high-position glycerin and squalane provide reasonable support despite differences in treatment-oriented ingredients.
P00011,HALF & HALF FLUID MOISTURIZER,fluid,5,P00015,Naturium Multi-Peptide Moisturizer,cream,0.2177,0.2073,0.8133,Reasonable,"Shares 17 ingredients and high-position glycerin and squalane, providing meaningful formula overlap despite differences in the remaining top ingredients."
P00049,Hydro Boost Hyaluronic Acid Water Gel,gel,1,P00017,"Calm + Restore Oat Gel Moisturizer, Sensitive Skin",gel_cream,0.5703,0.5556,0.9733,Reasonable,"Very strong match with 15 shared ingredients and eight shared high-position ingredients. Formula, ingredient, and function similarity all provide consistent support."
P00049,Hydro Boost Hyaluronic Acid Water Gel,gel,2,P00023,Squalane + Omega Repair Cream,cream,0.2811,0.2647,0.9506,Reasonable,"Four high-position ingredients overlap, including the cetearyl olivate/sorbitan olivate pair, providing meaningful structural similarity despite different product forms."
P00049,Hydro Boost Hyaluronic Acid Water Gel,gel,3,P00005,Neutrogena Hydro Boost Gel Cream Fragrance Free,gel_cream,0.2748,0.2273,0.584,Reasonable,"Five high-position ingredients overlap, including dimethicone, glycerin, cetearyl olivate, and sorbitan olivate. The function profiles differ more strongly than the ingredient structures."
P00049,Hydro Boost Hyaluronic Acid Water Gel,gel,4,P00040,Dew Point Gel-Cream Moisturizer,gel_cream,0.2463,0.2353,0.7218,Questionable / weak,"Only water and glycerin overlap within the top positions, while the remaining leading ingredients and function balance differ substantially."
P00049,Hydro Boost Hyaluronic Acid Water Gel,gel,5,P00032,Holy Hydration! Face Cream Fragrance Free,cream,0.2204,0.2093,0.924,Questionable / weak,"Some support comes from nine shared ingredients and high-position glycerin and cetearyl olivate, but the leading formula structures remain fairly different."
P00017,"Calm + Restore Oat Gel Moisturizer, Sensitive Skin",gel_cream,1,P00049,Hydro Boost Hyaluronic Acid Water Gel,gel,0.5703,0.5556,0.9733,Reasonable,Very strong match with 15 shared ingredients and eight shared high-position ingredients. The ranking is strongly supported by the ingredient structure.
P00017,"Calm + Restore Oat Gel Moisturizer, Sensitive Skin",gel_cream,2,P00005,Neutrogena Hydro Boost Gel Cream Fragrance Free,gel_cream,0.2877,0.2174,0.6364,Reasonable,"Five shared high-position ingredients provide strong structural overlap, even though the mapped function profiles differ substantially."
P00017,"Calm + Restore Oat Gel Moisturizer, Sensitive Skin",gel_cream,3,P00023,Squalane + Omega Repair Cream,cream,0.2525,0.2162,0.9397,Reasonable,"Four shared high-position ingredients, including the cetearyl olivate/sorbitan olivate pair, provide meaningful formula evidence."
P00017,"Calm + Restore Oat Gel Moisturizer, Sensitive Skin",gel_cream,4,P00032,Holy Hydration! Face Cream Fragrance Free,cream,0.2375,0.2273,0.9389,Questionable / weak,"Ten ingredients are shared, but high-position overlap is limited and the leading formula structures differ substantially."
P00017,"Calm + Restore Oat Gel Moisturizer, Sensitive Skin",gel_cream,5,P00036,Regenerist Micro-Sculpting Cream Moisturizer Fragrance Free,cream,0.2329,0.186,0.9734,Questionable / weak,"The match is mainly supported by common high-position ingredients such as water, glycerin, and dimethicone, with relatively limited broader structural overlap."
P00019,Moisturising Gel Cream,gel_cream,1,P00037,PM Facial Moisturizing Lotion,lotion,0.3664,0.3056,0.9038,Reasonable,"Strong match with five shared high-position ingredients, including niacinamide and ceramide NP, plus 11 shared ingredients overall."
P00019,Moisturising Gel Cream,gel_cream,2,P00046,Toleriane Fluide Oil-Free Moisturizer,fluid,0.2946,0.2222,0.8658,Reasonable,"Only six ingredients are shared overall, but four align within the top positions, including glycerin, caprylic/capric triglyceride, and niacinamide."
P00019,Moisturising Gel Cream,gel_cream,3,P00001,CeraVe Moisturizing Cream,cream,0.2857,0.2368,0.9364,Reasonable,"High-position overlap in glycerin, caprylic/capric triglyceride, and ceramide NP provides clear formula-level support."
P00019,Moisturising Gel Cream,gel_cream,4,P00027,Lipid Gold,lotion,0.2733,0.275,0.9739,Reasonable,Eleven shared ingredients and high-position niacinamide plus polyglyceryl-3 methylglucose distearate support the match; function profiles are also very similar.
P00019,Moisturising Gel Cream,gel_cream,5,P00029,Ultra Repair Cream Intense Hydration,cream,0.2728,0.25,0.914,Questionable / weak,"The main high-position overlap is water, glycerin, and caprylic/capric triglyceride, while the remaining leading formula structure differs substantially."
P00027,Lipid Gold,lotion,1,P00037,PM Facial Moisturizing Lotion,lotion,0.3182,0.3684,0.9057,Reasonable,"Shares 14 ingredients overall, including high-position niacinamide, with a similar barrier/emollient function profile."
P00027,Lipid Gold,lotion,2,P00001,CeraVe Moisturizing Cream,cream,0.3149,0.4054,0.9118,Reasonable,"Shares 15 ingredients and has the highest ingredient similarity in this group, although the top-position overlap is limited."
P00027,Lipid Gold,lotion,3,P00019,Moisturising Gel Cream,gel_cream,0.2733,0.275,0.9739,Reasonable,Shares 11 ingredients with high-position niacinamide and polyglyceryl-3 methylglucose distearate; the function profiles are also very similar.
P00027,Lipid Gold,lotion,4,P00007,TOLERIANE DOUBLE REPAIR FACE MOISTURIZER,cream,0.2027,0.1795,0.8322,Questionable / weak,"Some meaningful overlap exists in niacinamide and dimethicone, but only seven ingredients are shared and the broader formula structure differs."
P00027,Lipid Gold,lotion,5,P00040,Dew Point Gel-Cream Moisturizer,gel_cream,0.1967,0.1628,0.6674,Questionable / weak,"Only seven ingredients are shared, with high-position overlap mainly limited to propylene glycol, while the function profiles and leading ingredients differ substantially."
P00016,The Dewy Milk Moisturizer,milk,1,P00012,SUPERFOOD AIR-WHIP MOISTURE CREAM,cream,0.2092,0.1818,0.9761,Reasonable,"Shares 12 ingredients with high-position glycerin and squalane, and the mapped function profiles are highly similar."
P00016,The Dewy Milk Moisturizer,milk,2,P00009,CONFIDENCE IN A CREAM ANTI-AGING HYDRATING MOISTURIZER,cream,0.2038,0.1791,0.924,Reasonable,"Twelve shared ingredients and four high-position overlaps, including squalane and dimethicone, provide clear support for the match."
P00016,The Dewy Milk Moisturizer,milk,3,P00043,Plumping Gel Cream Facial Moisturizer,gel_cream,0.1904,0.1552,0.6778,Questionable / weak,"Shares glycerin and squalane at high positions, but the overall humectant/emollient balance and leading formula structure differ substantially."
P00016,The Dewy Milk Moisturizer,milk,4,P00049,Hydro Boost Hyaluronic Acid Water Gel,gel,0.1883,0.1509,0.947,Questionable / weak,"The main high-position overlap is water, glycerin, and dimethicone, while the rest of the leading formula structure differs."
P00016,The Dewy Milk Moisturizer,milk,5,P00030,Triple Lipid-Peptide Cream,cream,0.1759,0.1579,0.9285,Questionable / weak,"Shares 12 ingredients, but the strongest high-position overlap is mostly basic moisturizer ingredients and the barrier/lipid structure differs substantially."
